Init complete
6557 0.00 0.00
6564 0.00 0.00
6571 0.00 0.00
6578 0.00 0.00
6585 0.00 0.00
6591 0.00 0.00
6598 0.00 0.00
6604 0.00 0.00
6611 0.00 0.00
6618 0.00 0.00
6625 0.00 0.00
6630 0.00 0.00
6637 0.00 0.00
6643 0.00 0.00
6650 0.00 0.00
6657 0.00 0.00
6664 0.00 0.00
6670 0.00 0.00
6677 0.00 0.00
6683 0.00 0.00
6690 0.00 0.00
6696 0.00 0.00
6704 0.00 0.00
6710 0.00 0.00
6717 0.00 0.00
6723 0.00 0.00
6727 0.00 0.00
6734 0.00 0.00
6740 0.00 0.00
6748 0.00 0.00
6754 0.00 0.00
6761 0.00 0.00
6767 0.00 0.00
6774 0.00 0.00
6781 0.00 0.00
6788 0.00 0.00
6795 0.00 0.00
6801 0.00 0.00
6808 0.00 0.00
6814 0.00 0.00
6821 0.00 0.00
6828 0.00 0.00
6835 0.00 0.00
6841 0.00 0.00
6848 0.00 0.00
6854 0.00 0.00
6861 0.00 0.00
6868 0.00 0.00
6875 0.00 0.00
6882 0.00 0.00
6888 0.00 0.00
6895 0.00 0.00
6901 0.00 0.00
6908 0.00 0.00
6915 0.00 0.00
6922 0.00 0.00
6928 0.00 0.00
6935 0.00 0.00
6942 0.00 0.00
6948 0.00 0.00
6956 0.00 0.00
6962 0.00 0.00
6969 0.00 0.00
6975 0.00 0.00
6982 0.00 0.00
6988 0.00 0.00
6995 0.00 0.00
7003 0.00 0.00
7009 0.00 0.00
7016 0.00 0.00
7022 0.00 0.00
7029 0.00 0.00
7035 0.00 0.00
7043 0.00 0.00
7049 0.00 0.00
7056 0.00 0.00
7062 0.00 0.00
7069 0.00 0.00
7076 0.00 0.00
7083 0.00 0.00
7090 0.00 0.00
7096 0.00 0.00
7103 0.00 0.00
7108 0.00 0.00
7115 0.00 0.00
7119 0.00 0.00
7127 0.00 0.00
7133 0.00 0.00
7140 0.00 0.00
7146 0.00 0.00
7153 0.00 0.00
7159 0.00 0.00
7166 0.00 0.00
7173 0.00 0.00
7180 0.00 0.00
7186 0.00 0.00
7193 0.00 0.00
7198 0.00 0.00
7204 0.00 0.00
7212 0.00 0.00
7218 0.00 0.00
7225 0.00 0.00
7231 0.00 0.00
7238 0.00 0.00
7244 0.00 0.00
7251 0.00 0.00
7258 0.00 0.00
7265 0.00 0.00
7272 0.00 0.00
7278 0.00 0.00
7285 0.00 0.00
7291 0.00 0.00
7296 0.00 0.00
7303 0.00 0.00
7309 0.00 0.00
7316 0.00 0.00
7322 0.00 0.00
7329 0.00 0.00
7335 0.00 0.00
7343 0.00 0.00
7348 0.00 0.00
7355 0.00 0.00
7362 0.00 0.00
